pmid,sentence,format,population,purpose,label
22321061,"Effects of exemestane and tamoxifen on hormone levels within the Tamoxifen Exemestane Adjuvant Multicentre (TEAM) trial: results of a German substudy.AIM: The aim of this study was to compare the effects of exemestane and tamoxifen on hormone levels in postmenopausal patients with hormone receptor-positive breast cancer within a Germany substudy of the Tamoxifen Exemestane Adjuvant Multinational (TEAM) trial.METHODS: Within the TEAM trial, patients were randomized to receive adjuvant treatment with exemestane for 5 years or tamoxifen for 2.5-3 years followed by exemestane for 2-2.5 years.Serum levels of testosterone, dehydroepiandrosterone sulfate (DHEAS), sex hormone binding globulin (SHBG), follicle stimulating hormone (FSH) and parathyroid hormone (PTH)-intact were measured at screening and after 3, 6 and 12 months of treatment.RESULTS: Data on hormone levels were available from 63 patients in the tamoxifen arm and 68 patients in the exemestane arm.Treatment with exemestane resulted in decreases from baseline in SHBG and PTH-intact levels, and increases from baseline in testosterone, DHEAS and FSH levels.Tamoxifen treatment resulted in increases from baseline in SHBG and PTH-intact, whereas levels of testosterone and FSH decreased and DHEAS levels did not change.At all time points assessed, the absolute change from baseline was significantly different between tamoxifen and exemestane for testosterone, SHBG, FSH and PTH-intact (all p < 0.0001).CONCLUSIONS: Exemestane and tamoxifen had statistically significantly different effects on hormone levels, including testosterone, SHBG, FSH and PTH-intact.",1,1,1,1
22321061,"Effects of exemestane and tamoxifen on hormone levels within the Tamoxifen Exemestane Adjuvant Multicentre (TEAM) trial: results of a German substudy.AIM: The aim of this study was to compare the effects of exemestane and tamoxifen on hormone levels in postmenopausal patients with hormone receptor-positive breast cancer within a Germany substudy of the Tamoxifen Exemestane Adjuvant Multinational (TEAM) trial.METHODS: Within the TEAM trial, patients were randomized to receive adjuvant treatment with exemestane for 5 years or tamoxifen for 2.5-3 years followed by exemestane for 2-2.5 years.Serum levels of testosterone, dehydroepiandrosterone sulfate (DHEAS), sex hormone binding globulin (SHBG), follicle stimulating hormone (FSH) and parathyroid hormone (PTH)-intact were measured at screening and after 3, 6 and 12 months of treatment.RESULTS: Data on hormone levels were available from 63 patients in the tamoxifen arm and 68 patients in the exemestane arm.Treatment with exemestane resulted in decreases from baseline in SHBG and PTH-intact levels, and increases from baseline in testosterone, DHEAS and FSH levels.Tamoxifen treatment resulted in increases from baseline in SHBG and PTH-intact, whereas levels of testosterone and FSH decreased and DHEAS levels did not change.At all time points assessed, the absolute change from baseline was significantly different between tamoxifen and exemestane for testosterone, SHBG, FSH and PTH-intact (all p < 0.0001).CONCLUSIONS: Exemestane and tamoxifen had statistically significantly different effects on hormone levels, including testosterone, SHBG, FSH and PTH-intact.",1,1,1,1
22321061,"Effects of exemestane and tamoxifen on hormone levels within the Tamoxifen Exemestane Adjuvant Multicentre (TEAM) trial: results of a German substudy.AIM: The aim of this study was to compare the effects of exemestane and tamoxifen on hormone levels in postmenopausal patients with hormone receptor-positive breast cancer within a Germany substudy of the Tamoxifen Exemestane Adjuvant Multinational (TEAM) trial.METHODS: Within the TEAM trial, patients were randomized to receive adjuvant treatment with exemestane for 5 years or tamoxifen for 2.5-3 years followed by exemestane for 2-2.5 years.Serum levels of testosterone, dehydroepiandrosterone sulfate (DHEAS), sex hormone binding globulin (SHBG), follicle stimulating hormone (FSH) and parathyroid hormone (PTH)-intact were measured at screening and after 3, 6 and 12 months of treatment.RESULTS: Data on hormone levels were available from 63 patients in the tamoxifen arm and 68 patients in the exemestane arm.Treatment with exemestane resulted in decreases from baseline in SHBG and PTH-intact levels, and increases from baseline in testosterone, DHEAS and FSH levels.Tamoxifen treatment resulted in increases from baseline in SHBG and PTH-intact, whereas levels of testosterone and FSH decreased and DHEAS levels did not change.At all time points assessed, the absolute change from baseline was significantly different between tamoxifen and exemestane for testosterone, SHBG, FSH and PTH-intact (all p < 0.0001).CONCLUSIONS: Exemestane and tamoxifen had statistically significantly different effects on hormone levels, including testosterone, SHBG, FSH and PTH-intact.",1,1,1,1
22456329,"Endostatin inhibits angiogenesis in hepatocellular carcinoma after transarterial chemoembolization.BACKGROUND/AIMS: This study aims to investigate the influence of endostatin on angiogenesis in hepatocellular carcinoma (HCC) after transarterial chemoembolization (TACE).METHODOLOGY: Ninety-five patients with HCC were enrolled.Twenty-six patients received initial liver resection without preoperative TACE (non-TACE), 24 received preoperative TACE without endostatin (TACE), 22 received endostatin (15mg/m2) right after TACE intravenously (TACE-V) and 23 received endostatin (15mg/m2) through the hepatic artery during TACE (TACE-A).TACE was performed using Gemcitabine 1000mg/m2 (emulsified with lipiodol, 10-12mL), cisplatin 40 mg/m2 and 5-fluorouracil 500mg/m2 through the hepatic artery feeding the tumor.Patients received liver resection 4 weeks after second course of TACE.RESULTS: The mean microvessel density (MVD) was 32.23+/-12.71, 57.46+/-18.38, 44.36+/-15.13 and 43.48+/-15.59 in non-TACE, TACE, TACE-V and TACE-A group respectively.The positive rate of vascular endothelial growth factor (VEGF) expression was 46.15%, 91.67%, 77.27% and 73.91% in non-TACE, TACE, TACE-V and TACE-A groups, respectively.Compared to the non-TACE group, MVD and VEGF expression in TACE, TACE-V and TACE-A groups were significantly higher (p<0.05).MVD and VEGF expression in the TACE-V and TACE-A groups were significantly lower than in the TACE group (p<0.05).CONCLUSIONS: Endostatin could significantly repress angiogenesis in HCC after TACE by down-regulating expression of VEGF.",0,0,0,0
22473163,"Multicenter randomized phase II clinical trial comparing neoadjuvant oxaliplatin, capecitabine, and preoperative radiotherapy with or without cetuximab followed by total mesorectal excision in patients with high-risk rectal cancer (EXPERT-C).PURPOSE: To evaluate the addition of cetuximab to neoadjuvant chemotherapy before chemoradiotherapy in high-risk rectal cancer.PATIENTS AND METHODS: Patients with operable magnetic resonance imaging-defined high-risk rectal cancer received four cycles of capecitabine/oxaliplatin (CAPOX) followed by capecitabine chemoradiotherapy, surgery, and adjuvant CAPOX (four cycles) or the same regimen plus weekly cetuximab (CAPOX+C).The primary end point was complete response (CR; pathologic CR or, in patients not undergoing surgery, radiologic CR) in patients with KRAS/BRAF wild-type tumors.Secondary end points were radiologic response (RR), progression-free survival (PFS), overall survival (OS), and safety in the wild-type and overall populations and a molecular biomarker analysis.RESULTS: One hundred sixty-five eligible patients were randomly assigned.Ninety (60%) of 149 assessable tumors were KRAS or BRAF wild type (CAPOX, n = 44; CAPOX+C, n = 46), and in these patients, the addition of cetuximab did not improve the primary end point of CR (9% v 11%, respectively; P = 1.0; odds ratio, 1.22) or PFS (hazard ratio [HR], 0.65; P = .363).Cetuximab significantly improved RR (CAPOX v CAPOX+C: after chemotherapy, 51% v 71%, respectively; P = .038; after chemoradiation, 75% v 93%, respectively; P = .028) and OS (HR, 0.27; P = .034).Skin toxicity and diarrhea were more frequent in the CAPOX+C arm.CONCLUSION: Cetuximab led to a significant increase in RR and OS in patients with KRAS/BRAF wild-type rectal cancer, but the primary end point of improved CR was not met.",1,1,1,1
22565002,"Randomized phase II trial of everolimus in combination with tamoxifen in patients with hormone receptor-positive, human epidermal growth factor receptor 2-negative metastatic breast cancer with prior exposure to aromatase inhibitors: a GINECO study.PURPOSE: Cross-talk between signal transduction pathways likely contributes to hormone resistance in metastatic breast cancer (mBC).Everolimus, an oral inhibitor of the mammalian target of rapamycin, has restored sensitivity in endocrine-resistance models and shown anticancer activity in early-phase mBC clinical trials.This analysis evaluated efficacy and safety of everolimus in combination with tamoxifen in patients with mBC resistant to aromatase inhibitors (AIs).PATIENTS AND METHODS: This open-label, phase II study randomly assigned postmenopausal women with hormone receptor-positive, human epidermal growth factor receptor 2-negative, AI-resistant mBC to tamoxifen 20 mg/d plus everolimus 10 mg/d (n = 54) or tamoxifen 20 mg/d alone (n = 57).Randomization was stratified by primary and secondary hormone resistance.Primary end point was clinical benefit rate (CBR), defined as the percentage of all patients with a complete or partial response or stable disease at 6 months.No formal statistical comparison between groups was planned.RESULTS: The 6-month CBR was 61% (95% CI, 47 to 74) with tamoxifen plus everolimus and 42% (95% CI, 29 to 56) with tamoxifen alone.Time to progression (TTP) increased from 4.5 months with tamoxifen alone to 8.6 months with tamoxifen plus everolimus, corresponding to a 46% reduction in risk of progression with the combination (hazard ratio [HR], 0.54; 95% CI, 0.36 to 0.81).Risk of death was reduced by 55% with tamoxifen plus everolimus versus tamoxifen alone (HR, 0.45; 95% CI, 0.24 to 0.81).The main toxicities associated with tamoxifen plus everolimus were fatigue (72% v 53% with tamoxifen alone), stomatitis (56% v 7%), rash (44% v 7%), anorexia (43% v 18%), and diarrhea (39% v 11%).CONCLUSION: This study suggests that tamoxifen plus everolimus increased CBR, TTP, and overall survival compared with tamoxifen alone in postmenopausal women with AI-resistant mBC.",1,1,1,1
22184384,"Phase III trial comparing capecitabine plus cisplatin versus capecitabine plus cisplatin with concurrent capecitabine radiotherapy in completely resected gastric cancer with D2 lymph node dissection: the ARTIST trial.PURPOSE: The ARTIST (Adjuvant Chemoradiation Therapy in Stomach Cancer) trial was the first study to our knowledge to investigate the role of postoperative chemoradiotherapy therapy in patients with curatively resected gastric cancer with D2 lymph node dissection.This trial was designed to compare postoperative treatment with capecitabine plus cisplatin (XP) versus XP plus radiotherapy with capecitabine (XP/XRT/XP).PATIENTS AND METHODS: The XP arm received six cycles of XP (capecitabine 2,000 mg/m2 per day on days 1 to 14 and cisplatin 60 mg/m2 on day 1, repeated every 3 weeks) chemotherapy.The XP/XRT/XP arm received two cycles of XP followed by 45-Gy XRT (capecitabine 1,650 mg/m2 per day for 5 weeks) and two cycles of XP.RESULTS: Of 458 patients, 228 were randomly assigned to the XP arm and 230 to the XP/XRT/XP arm.Treatment was completed as planned by 75.4% of patients (172 of 228) in the XP arm and 81.7% (188 of 230) in the XP/XRT/XP arm.Overall, the addition of XRT to XP chemotherapy did not significantly prolong disease-free survival (DFS; P = .0862).However, in the subgroup of patients with pathologic lymph node metastasis at the time of surgery (n = 396), patients randomly assigned to the XP/XRT/XP arm experienced superior DFS when compared with those who received XP alone (P = .0365), and the statistical significance was retained at multivariate analysis (estimated hazard ratio, 0.6865; 95% CI, 0.4735 to 0.9952; P = .0471).CONCLUSION The addition of XRT to XP chemotherapy did not significantly reduce recurrence after curative resection and D2 lymph node dissection in gastric cancer.A subsequent trial (ARTIST-II) in patients with lymph node-positive gastric cancer is planned.",0,0,0,0
21750964,"Pathological complete response rates following different neoadjuvant chemotherapy regimens for operable breast cancer according to ER status, in two parallel, randomized phase II trials with an adaptive study design (ECTO II).Sequential doxorubicin/paclitaxel (AT) followed by CMF treatment was shown to be an active neoadjuvant chemotherapy regimen in the first European Cooperative Trial in Operable Breast Cancer (ECTO I trial).The aim of the current study (ECTO II) is to assess the complete pathological response (pCR) rate following three different anthracycline and taxane-containing neoadjuvant chemotherapy regimens, with or without capecitabine (X).Patients with operable, invasive breast cancer > 2.0 cm in diameter, were randomized to AT-->CMF, AT-->CMX or AC-->TX regimens in two parallel, randomized, open-label, phase II trials (within a single study) in patients with estrogen receptor negative (ER-) and estrogen receptor positive (ER+) diseases, respectively.Exemestane was delivered concomitantly with neoadjuvant chemotherapy in ER+ tumors.Achievement of pCR was more common in ER- than ER+ women (45.3 vs. 10.4%).Capecitabine was only associated with a higher frequency of pCR in ER+ patients receiving AT-->CMX.Overall response rates (ORR) ranged from 88 to 97%, and this translated into high rates of breast-conserving surgery (67% of ER- patients and 72% of ER+ patients).All three regimens were well tolerated.Febrile neutropenia and gastrointestinal effects were the most common grade >/= 3 adverse events.As expected, the ECTO II study showed higher pCR rates in patients with ER- disease.Substituting capecitabine for fluorouracil (+/- methotrexate) in anthracycline/taxane-containing regimens appeared to be beneficial only in ER+ tumors.Translational studies investigating interactions between therapeutic agents and tumor biology are warranted to refine patient selection and improve the results of neoadjuvant chemotherapy.",0,0,0,0
22459260,"Supporting self-management of pain in cancer patients: methods and lessons learned from a randomized controlled pilot study.PURPOSE OF THE RESEARCH: The purposes of this paper are to describe the methods used and the knowledge gained during a pilot study that evaluated the effects of a self-management intervention for cancer pain, as well as the adaptations that were made for a larger clinical trial.METHODS AND SAMPLE: In a randomized controlled trial, the adapted German version of the PRO-SELF((c)) Plus Pain Control Program (PCP), a 10-week intervention to support self-management of pain in adult oncology outpatients and their family caregivers, was compared to attention control.Primary endpoints were average and worst pain measured at 6, 10, 14, and 22 weeks after enrollment.KEY RESULTS: A total of 39 patients (19 intervention, 20 control) were recruited over 18 months.During the study, inclusion criteria were expanded.Furthermore, the structured timing of the intervention visits was too static for a dynamic symptom like cancer pain.The intervention was expanded to include symptoms that severely impacted pain self-management including chemotherapy-induced nausea and vomiting.CONCLUSIONS: Apart from the provision of information and skills building, coaching cancer patients across a complex treatment is an important function of an intervention to support pain self-management.The pilot study proved to be highly useful in order to adapt planned study procedures, to balance burden and benefit for participants, and to customize the intervention to patients' needs and abilities in order to enhance feasibility and effectiveness.Findings from this pilot study will be fully integrated in a larger randomized controlled trial.CLINICAL TRIAL REGISTRATION NUMBER: NCT00920504.",0,0,0,0
22474202,"Effect of oxaliplatin, fluorouracil, and leucovorin with or without cetuximab on survival among patients with resected stage III colon cancer: a randomized trial.CONTEXT: Leucovorin, fluorouracil, and oxaliplatin (FOLFOX) is the standard adjuvant therapy for resected stage III colon cancer.Adding cetuximab to FOLFOX benefits patients with metastatic wild-type KRAS but not mutated KRAS colon cancer.OBJECTIVE: To assess the potential benefit of cetuximab added to the modified sixth version of the FOLFOX regimen (mFOLFOX6) in patients with resected stage III wild-type KRAS colon cancer.DESIGN, SETTING, AND PARTICIPANTS: A randomized trial of 2686 patients aged 18 years or older at multiple institutions across North America enrolled following resection and informed consent between February 10, 2004, and November 25, 2009.The primary randomized comparison was 12 biweekly cycles of mFOLFOX6 with and without cetuximab.KRAS mutation status was centrally determined.The trial was halted after a planned interim analysis of 48% of predicted events (246/515) occurring in 1863 (of 2070 planned) patients with tumors having wild-type KRAS.A total of 717 patients with mutated KRAS and 106 with indeterminate KRAS were accrued.The 2070 patients with wild-type KRAS provided 90% power to detect a hazard ratio (HR) of 1.33 (2-sided alpha = .05), with planned interim efficacy analyses after 25%, 50%, and 75% of expected relapses.MAIN OUTCOME MEASURES: Disease-free survival in patients with wild-type KRAS mutations.Secondary end points included overall survival and toxicity.RESULTS: Median (range) follow-up was 28 (0-68) months.The trial demonstrated no benefit when adding cetuximab.Three-year disease-free survival for mFOLFOX6 alone was 74.6% vs 71.5% with the addition of cetuximab (HR, 1.21; 95% CI, 0.98-1.49; P = .08) in patients with wild-type KRAS, and 67.1% vs 65.0% (HR, 1.12; 95% CI, 0.86-1.46; P = .38) in patients with mutated KRAS, with no significant benefit in any subgroups assessed.Among all patients, grade 3 or higher adverse events (72.5% vs 52.3%; odds ratio [OR], 2.4; 95% CI, 2.1-2.8; P < .001) and failure to complete 12 cycles (33% vs 23%; OR, 1.6; 95% CI, 1.4-1.9; P < .001) were significantly higher with cetuximab.Increased toxicity and greater detrimental differences in all outcomes were observed in patients aged 70 years or older.CONCLUSION: Among patients with stage III resected colon cancer, the use of cetuximab with adjuvant mFOLFOX6 compared with mFOLFOX6 alone did not result in improved disease-free survival.TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00079274.",1,1,1,1
